# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = negativebinomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = negativebinomial_1.data.R
# init = 2 (Default)
# random
#   seed = 2863632350
# output
#   file = negativebinomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta
# Adaptation terminated
# Step size = 0.675461
# Diagonal elements of inverse mass matrix:
# 0.178281, 0.201626
-24.0647,1,0.675461,2,3,0,25.0274,0.72611,0.189783
-22.9408,1,0.675461,2,3,0,24.3191,0.491742,0.244069
-23.1573,0.97843,0.675461,3,7,0,24.6659,0.488278,0.221527
-22.0636,0.999747,0.675461,3,7,0,23.2441,0.600352,0.369295
-22.1681,0.578802,0.675461,3,7,0,23.0261,1.28074,0.614901
-21.7866,1,0.675461,2,3,0,22.1827,0.984383,0.626943
-21.9392,0.949402,0.675461,2,3,0,22.7496,1.12647,0.65443
-21.7462,0.999571,0.675461,2,7,0,21.9581,0.716704,0.443193
-22.2649,0.585626,0.675461,3,7,0,23.9542,1.12211,0.736881
-23.8365,0.802419,0.675461,2,5,0,24.3497,0.388144,0.193736
-22.3296,0.992157,0.675461,2,7,0,24.4073,1.09209,0.748785
-22.3296,0.368699,0.675461,1,2,1,24.9498,1.09209,0.748785
-21.7721,0.920858,0.675461,2,3,0,22.8708,0.919185,0.44451
-22.2152,0.897053,0.675461,2,3,0,22.6928,0.564551,0.459966
-21.7654,0.961759,0.675461,3,7,0,22.3908,0.773919,0.554621
-21.6751,0.750361,0.675461,2,3,0,23.2319,0.771406,0.489927
-22.3592,0.951441,0.675461,2,3,0,22.4415,0.586033,0.299
-21.7637,0.986405,0.675461,1,3,0,22.9481,0.70571,0.440107
-21.6429,0.999744,0.675461,3,9,0,21.7668,0.861849,0.481307
-21.8124,0.976884,0.675461,2,7,0,21.8884,0.759608,0.395228
-24.5935,0.872254,0.675461,2,3,0,24.7733,0.29718,0.200205
-21.6396,0.999023,0.675461,2,7,0,25.4355,0.819949,0.499407
-26.0135,0.515321,0.675461,2,3,0,26.2125,1.43933,0.303269
-22.0343,0.911125,0.675461,2,3,0,26.4156,0.623639,0.494757
-21.6389,0.991524,0.675461,2,3,0,22.0382,0.826467,0.486552
-22.9041,0.841686,0.675461,2,7,0,25.2718,0.432265,0.335242
