# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = gauss_2.data.R
# init = 2 (Default)
# random
#   seed = 1244945196
# output
#   file = gauss_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.785198
# Diagonal elements of inverse mass matrix:
# 0.358382, 0.547428

-7.99031,1,0.785198,1,1,0,5.54356,-0.99081
-5.28359,1,0.785198,3,5,0,2.57669,0.352272
-5.26791,0.989394,0.785198,2,3,0,1.67082,0.0969007
-4.94503,1,0.785198,2,3,0,1.74043,0.291966
-5.30045,0.78979,0.785198,2,3,0,2.55518,2.01146
-5.10445,0.970555,0.785198,2,3,0,2.85635,1.21966
-7.3429,0.734372,0.785198,2,3,0,0.402865,1.48998
-7.2176,0.992902,0.785198,3,7,0,6.25867,0.385403
-4.21862,0.960417,0.785198,2,3,0,1.57479,0.971565
-4.2403,0.997074,0.785198,1,1,0,1.61897,0.981249
-5.00323,0.929119,0.785198,2,3,0,2.52493,1.65948
-4.49401,1,0.785198,2,3,0,1.06804,1.72666
-5.45827,0.786526,0.785198,2,3,0,3.13503,1.73867
-4.73845,0.996955,0.785198,2,3,0,1.00833,1.83266
-6.25772,0.579193,0.785198,1,1,0,1.00907,2.37752
-6.60085,1,0.785198,2,3,0,5.22196,0.823442
-6.7321,0.966324,0.785198,2,3,0,3.37033,-0.521255
-9.44069,0.975353,0.785198,3,5,0,10.8205,-1.12539
-9.00576,1,0.785198,1,1,0,9.48778,-0.93807
-9.26333,0.993246,0.785198,1,1,0,10.4158,-0.989735
-8.32368,0.994154,0.785198,2,3,0,5.41128,-1.28001
-7.30293,0.997969,0.785198,2,3,0,4.01229,-0.783938
-8.74874,0.557829,0.785198,3,7,0,0.645705,2.47161
-8.14816,0.877054,0.785198,2,3,0,2.80725,-1.23455
-6.28962,0.948363,0.785198,3,7,0,4.47007,1.80147
-6.38294,0.995196,0.785198,1,1,0,4.64301,1.80032
-7.34,0.96597,0.785198,2,3,0,2.50985,3.20877
-8.53545,0.955143,0.785198,2,3,0,6.66536,3.55492
-7.14313,0.978151,0.785198,2,3,0,3.32305,3.11373
-7.3094,0.998932,0.785198,3,7,0,3.86497,3.14637
-4.2963,0.839484,0.785198,3,7,0,1.62823,1.46545
-4.05969,0.981811,0.785198,2,3,0,1.18672,1.29138
-4.677,0.948515,0.785198,2,3,0,0.791051,0.746056
-4.40696,1,0.785198,2,3,0,1.85355,0.933176
-4.94035,0.955485,0.785198,3,7,0,0.629254,1.34101
-4.91184,0.93368,0.785198,1,1,0,0.804592,1.73292
-5.14019,0.848976,0.785198,3,7,0,2.57978,0.523661
-4.4676,0.945244,0.785198,2,3,0,1.78366,1.59315
-4.40225,0.993022,0.785198,2,3,0,1.81829,1.44501
-4.98008,0.923331,0.785198,2,3,0,2.45858,0.637742
-5.05722,0.932026,0.785198,2,3,0,1.88008,2.08697
-7.18966,0.733837,0.785198,3,7,0,2.88304,3.16004
-5.02953,0.878338,0.785198,2,3,0,1.4369,2.10496
-6.38023,0.485335,0.785198,1,1,0,0.820642,2.23759
-5.13412,1,0.785198,2,3,0,1.12641,2.07239
-5.13739,1,0.785198,2,3,0,2.80788,1.52774
-5.14804,0.996518,0.785198,1,1,0,2.86048,1.44991
-6.99026,0.941755,0.785198,3,7,0,2.7693,3.06439
-6.81921,0.873819,0.785198,2,3,0,4.49939,2.56072
-6.73505,0.995519,0.785198,1,1,0,4.49918,2.46714
-5.18344,0.906972,0.785198,3,7,0,1.32768,2.16049
-5.23408,1,0.785198,1,1,0,1.56844,2.21715
-4.75225,1,0.785198,2,3,0,2.35427,1.34824
-4.7271,1,0.785198,1,1,0,2.34612,1.11126
-4.31403,0.965285,0.785198,2,3,0,1.39852,0.713433
-4.04838,0.983604,0.785198,3,7,0,1.19046,1.24709
-5.16219,0.765064,0.785198,2,3,0,1.52425,2.17875
-4.92324,0.615441,0.785198,2,3,0,0.797933,0.603642
-4.80175,1,0.785198,2,3,0,1.95107,1.85999
-4.25725,0.976359,0.785198,2,3,0,0.900949,1.39926
-4.31225,0.638871,0.785198,2,3,0,0.879508,0.902656
-4.35153,0.866781,0.785198,2,3,0,1.7405,1.4431
-4.10124,0.910915,0.785198,2,3,0,0.973272,1.14701
-4.19221,0.929883,0.785198,2,3,0,1.58812,1.21389
-4.68349,0.910809,0.785198,2,3,0,1.80492,1.81964
-4.47364,0.939916,0.785198,2,3,0,0.878249,1.57057
-4.38692,1,0.785198,2,3,0,0.930804,0.772002
-4.94264,0.735734,0.785198,2,3,0,2.57348,0.881099
-4.15802,1,0.785198,2,3,0,1.50617,1.28289
-4.45901,0.939889,0.785198,2,3,0,0.910841,0.737849
-4.13897,1,0.785198,1,1,0,0.96287,1.02651
-4.42013,0.869934,0.785198,2,3,0,1.84364,0.885741
-4.19559,0.990754,0.785198,2,3,0,1.18705,0.815825
-5.93691,0.651942,0.785198,2,3,0,2.21022,-0.224584
-6.9583,0.992414,0.785198,2,3,0,3.65758,-0.615868
-6.66937,0.991084,0.785198,1,1,0,3.08196,-0.532366
-4.23008,0.796883,0.785198,2,3,0,1.0346,0.830084
-4.58282,0.879008,0.785198,2,3,0,2.05995,0.854005
-4.70166,0.918936,0.785198,2,3,0,1.6548,1.88767
-4.39484,0.986634,0.785198,2,3,0,1.47872,1.67714
-4.15149,1,0.785198,2,3,0,0.926652,1.08215
-4.37069,0.961868,0.785198,3,7,0,1.69202,0.803893
-4.22948,1,0.785198,2,3,0,1.5571,0.922994
-4.22948,0.903799,0.785198,2,3,0,1.5571,0.922994
-4.97245,0.93569,0.785198,2,3,0,1.48016,0.255576
-4.82814,0.963323,0.785198,2,3,0,2.36385,1.54266
-4.04395,0.956591,0.785198,2,3,0,1.19482,1.11434
-4.25915,0.950096,0.785198,2,3,0,1.66219,1.33002
-4.19487,0.956162,0.785198,2,3,0,0.878917,1.14607
-4.10381,0.754682,0.785198,2,3,0,0.97919,1.09765
-4.13223,0.993985,0.785198,1,1,0,0.93733,1.20546
-4.35328,0.914494,0.785198,3,7,0,1.31283,1.67073
-4.76597,0.82095,0.785198,2,3,0,1.28826,0.385896
-6.9647,0.503851,0.785198,3,7,0,0.558444,1.9603
-5.02486,1,0.785198,2,3,0,0.629304,0.909851
-5.50233,0.862453,0.785198,1,1,0,0.527927,1.13175
-5.50233,0.0679572,0.785198,1,1,0,0.527927,1.13175
-5.50233,0.110323,0.785198,2,3,0,0.527927,1.13175
-5.50233,0.709978,0.785198,1,1,0,0.527927,1.13175
-4.7103,1,0.785198,2,3,0,0.884797,0.610873
-4.7846,0.989439,0.785198,2,3,0,2.42072,1.24232
-4.47465,1,0.785198,2,3,0,1.83998,0.780958
